Arachnida_Gasteracantha cancriformis
Actinopterygii_Lepomis macrochirus
Amphibia_Hyla versicolor
Reptilia_Pantherophis emoryi
Mollusca_Ariolimax columbianus
Animalia_Physalia physalis
Insecta_Dythemis fugax
Aves_Junco hyemalis oreganus
Mammalia_Lepus californicus
Arachnida_Uroctonus mordax
Actinopterygii_Lepomis cyanellus
Amphibia_Plethodon cinereus
Reptilia_Thamnophis marcianus
Mollusca_Hermissenda opalescens
Animalia_Scolopendra polymorpha
Insecta_Polistes dominula
Aves_Cassiculus melanicterus
Mammalia_Tamias striatus
Arachnida_Phidippus johnsoni
Actinopterygii_Salvelinus fontinalis
Amphibia_Lithobates pipiens
Reptilia_Micrurus tener
Mollusca_Triopha catalinae
Animalia_Anthopleura sola
Insecta_Olla v-nigrum
Aves_Motacilla cinerea
Mammalia_Lepus europaeus
Arachnida_Leucauge venusta
Actinopterygii_Pterois volitans
Amphibia_Lithobates sylvaticus
Reptilia_Sceloporus consobrinus
Mollusca_Leukoma staminea
Animalia_Cancer productus
Insecta_Argia moesta
Aves_Aegithalos caudatus
Mammalia_Sylvilagus floridanus
Arachnida_Argiope aurantia
Actinopterygii_Micropterus salmoides
Amphibia_Lithobates sphenocephalus
Reptilia_Ctenosaura similis
Mollusca_Diaulula sandiegensis
Animalia_Callinectes sapidus
Insecta_Plathemis lydia
Aves_Oreothlypis celata
Mammalia_Lontra canadensis
Arachnida_Nephila clavipes
Actinopterygii_Cyprinus carpio
Amphibia_Lithobates catesbeianus
Reptilia_Pantherophis alleghaniensis
Mollusca_Phidiana hiltoni
Animalia_Dermasterias imbricata
Insecta_Apis mellifera
Aves_Quiscalus quiscula
Mammalia_Ursus americanus
Arachnida_Latrodectus geometricus
Actinopterygii_Zanclus cornutus
Amphibia_Hyla chrysoscelis
Reptilia_Trachemys scripta elegans
Mollusca_Doris montereyensis
Animalia_Aurelia aurita
Insecta_Danaus gilippus
Aves_Acridotheres tristis
Mammalia_Procyon lotor
Arachnida_Peucetia viridans
Actinopterygii_Oncorhynchus mykiss
Amphibia_Rana dalmatina
Reptilia_Uta stansburiana
Mollusca_Hermissenda crassicornis
Animalia_Pollicipes polymerus
Insecta_Abaeis nicippe
Aves_Sturnus vulgaris
Mammalia_Tamiasciurus douglasii
Arachnida_Centruroides vittatus
Actinopterygii_Lepomis gibbosus
Amphibia_Gastrophryne carolinensis
Reptilia_Sceloporus undulatus
Mollusca_Cryptochiton stelleri
Animalia_Pisaster ochraceus
Insecta_Haematopis grataria
Aves_Larus californicus
Mammalia_Odocoileus hemionus californicus
