Reptilia_Ctenosaura similis
Aves_Sturnus vulgaris
Insecta_Polistes dominula
Amphibia_Lithobates catesbeianus
Mollusca_Triopha catalinae
Animalia_Physalia physalis
Actinopterygii_Salvelinus fontinalis
Mammalia_Tamias striatus
Arachnida_Argiope aurantia
Reptilia_Uta stansburiana
Aves_Quiscalus quiscula
Insecta_Argia moesta
Amphibia_Plethodon cinereus
Mollusca_Doris montereyensis
Animalia_Dermasterias imbricata
Actinopterygii_Oncorhynchus mykiss
Mammalia_Sylvilagus floridanus
Arachnida_Nephila clavipes
Reptilia_Micrurus tener
Aves_Oreothlypis celata
Insecta_Apis mellifera
Amphibia_Lithobates sylvaticus
Mollusca_Leukoma staminea
Animalia_Pollicipes polymerus
Actinopterygii_Pterois volitans
Mammalia_Tamiasciurus douglasii
Arachnida_Phidippus johnsoni
Reptilia_Trachemys scripta elegans
Aves_Junco hyemalis oreganus
Insecta_Plathemis lydia
Amphibia_Rana dalmatina
Mollusca_Hermissenda opalescens
Animalia_Aurelia aurita
Actinopterygii_Lepomis macrochirus
Mammalia_Lepus californicus
Arachnida_Latrodectus geometricus
Reptilia_Sceloporus consobrinus
Aves_Acridotheres tristis
Insecta_Danaus gilippus
Amphibia_Lithobates sphenocephalus
Mollusca_Diaulula sandiegensis
Animalia_Scolopendra polymorpha
Actinopterygii_Cyprinus carpio
Mammalia_Ursus americanus
Arachnida_Centruroides vittatus
Reptilia_Thamnophis marcianus
Aves_Motacilla cinerea
Insecta_Olla v-nigrum
Amphibia_Gastrophryne carolinensis
Mollusca_Cryptochiton stelleri
Animalia_Anthopleura sola
Actinopterygii_Lepomis gibbosus
Mammalia_Lontra canadensis
Arachnida_Gasteracantha cancriformis
Reptilia_Pantherophis alleghaniensis
Aves_Larus californicus
Insecta_Abaeis nicippe
Amphibia_Hyla versicolor
Mollusca_Phidiana hiltoni
Animalia_Cancer productus
Actinopterygii_Zanclus cornutus
Mammalia_Odocoileus hemionus californicus
Arachnida_Uroctonus mordax
Reptilia_Sceloporus undulatus
Aves_Cassiculus melanicterus
Insecta_Dythemis fugax
Amphibia_Lithobates pipiens
Mollusca_Ariolimax columbianus
Animalia_Callinectes sapidus
Actinopterygii_Micropterus salmoides
Mammalia_Lepus europaeus
Arachnida_Peucetia viridans
Reptilia_Pantherophis emoryi
Aves_Aegithalos caudatus
Insecta_Haematopis grataria
Amphibia_Hyla chrysoscelis
Mollusca_Hermissenda crassicornis
Animalia_Pisaster ochraceus
Actinopterygii_Lepomis cyanellus
Mammalia_Procyon lotor
Arachnida_Leucauge venusta
