Actinopterygii_Micropterus salmoides
Mammalia_Odocoileus hemionus californicus
Mollusca_Diaulula sandiegensis
Reptilia_Thamnophis marcianus
Insecta_Olla v-nigrum
Aves_Larus californicus
Amphibia_Rana dalmatina
Arachnida_Uroctonus mordax
Animalia_Aurelia aurita
Actinopterygii_Zanclus cornutus
Mammalia_Lepus californicus
Mollusca_Triopha catalinae
Reptilia_Ctenosaura similis
Insecta_Argia moesta
Aves_Motacilla cinerea
Amphibia_Hyla versicolor
Arachnida_Phidippus johnsoni
Animalia_Callinectes sapidus
Actinopterygii_Salvelinus fontinalis
Mammalia_Lontra canadensis
Mollusca_Hermissenda opalescens
Reptilia_Sceloporus undulatus
Insecta_Haematopis grataria
Aves_Oreothlypis celata
Amphibia_Lithobates sphenocephalus
Arachnida_Nephila clavipes
Animalia_Scolopendra polymorpha
Actinopterygii_Pterois volitans
Mammalia_Ursus americanus
Mollusca_Leukoma staminea
Reptilia_Trachemys scripta elegans
Insecta_Abaeis nicippe
Aves_Sturnus vulgaris
Amphibia_Lithobates pipiens
Arachnida_Centruroides vittatus
Animalia_Cancer productus
Actinopterygii_Oncorhynchus mykiss
Mammalia_Tamias striatus
Mollusca_Phidiana hiltoni
Reptilia_Sceloporus consobrinus
Insecta_Polistes dominula
Aves_Junco hyemalis oreganus
Amphibia_Plethodon cinereus
Arachnida_Peucetia viridans
Animalia_Dermasterias imbricata
Actinopterygii_Cyprinus carpio
Mammalia_Tamiasciurus douglasii
Mollusca_Cryptochiton stelleri
Reptilia_Micrurus tener
Insecta_Dythemis fugax
Aves_Aegithalos caudatus
Amphibia_Hyla chrysoscelis
Arachnida_Argiope aurantia
Animalia_Physalia physalis
Actinopterygii_Lepomis macrochirus
Mammalia_Procyon lotor
Mollusca_Hermissenda crassicornis
Reptilia_Pantherophis emoryi
Insecta_Apis mellifera
Aves_Quiscalus quiscula
Amphibia_Lithobates catesbeianus
Arachnida_Latrodectus geometricus
Animalia_Anthopleura sola
Actinopterygii_Lepomis gibbosus
Mammalia_Sylvilagus floridanus
Mollusca_Ariolimax columbianus
Reptilia_Pantherophis alleghaniensis
Insecta_Danaus gilippus
Aves_Cassiculus melanicterus
Amphibia_Gastrophryne carolinensis
Arachnida_Gasteracantha cancriformis
Animalia_Pisaster ochraceus
Actinopterygii_Lepomis cyanellus
Mammalia_Lepus europaeus
Mollusca_Doris montereyensis
Reptilia_Uta stansburiana
Insecta_Plathemis lydia
Aves_Acridotheres tristis
Amphibia_Lithobates sylvaticus
Arachnida_Leucauge venusta
Animalia_Pollicipes polymerus
